200  3012  8900  2983   827
201  3000  8918  2962   798
202  2930  8918  2977   746
203  2906  8900  3016   711
204  2900  8930  2973   688
205  2900  9006  2917   672
206  2906  9100  2831   661
207  2918  9130  2779   671
208  2942  9200  2723   703
209  2936  9230  2679   682
210  2942  9300  2630   683
211  2948  9330  2581   684
212  2942  9400  2537   664
213  2930  9430  2494   633
214  2900  9500  2457   571
215  2848  9530  2413   541
216  2830  9600  2371   500
217  2824  9630  2324   482
218  2800  9648  2302   434
219  2748  9700  2285   409
220  2730  9712  2270   373
221  2700  9712  2278   318
222  2630  9706  2296   263
223  2600  9700  2313   209
224  2548  9730  2266   179
225  2606  9800  2211   207
226  2618  9830  2158   223
227  2630  9900  2105   240
228  2700  9918  2069   293
229  2730  9930  2044   347
230  2800 10000  1990   398
231  2824 10030  1937   438
232  2900 10054  1894   501
233  2936 10130  1832   563
234  2942 10200  1784   571
235  2942 10242  1718   568
236  2912 10300  1691   512
237  2900 10324  1653   489
238  2918 10400  1595   521
239  2942 10430  1547   564
240  3000 10448  1518   597
241  3036 10500  1500   662
242  3100 10530  1454   705
243  3124 10600  1409   749
244  3148 10636  1355   793
245  3148 10700  1319   794
246  3148 10730  1273   796
247  3148 10812  1210   799
248  3118 10812  1207   745
249  3118 10900  1133   750
250  3118 11000  1042   757
251  3112 11106   940   756
252  3118 11130   905   771
253  3130 11200   862   798
254  3142 11230   819   825
255  3154 11300   777   852
256  3200 11330   734   869
257  3212 11400   692   897
258  3224 11430   651   925
259  3242 11424   665   955
260  3236 11500   611   954
261  3236 11530   567   962
262  3230 11600   521   960
263  3224 11630   475   958
